"id","title","description","created_date","img","add_byuser","is_subcategory","parentcategory_id","is_newlaunch","is_special","sort_order","status","show_onwebsite","del_status"
"2351",,,"2024-04-21 10:40:46","4beae7123bd57adf0c7d5e4d59fba4fb.jpg","Admin",NULL,"0","1","1","21","1",NULL,NULL
"2352","Tshirt, Hoodies Caps",,"2024-04-21 10:40:46","873bffdfc9aaec930e3f2e6aca9af14b.jpg","Admin",NULL,"0","1","1","2","1",NULL,NULL
"2353","Luxury Home decor & Idols ",,"2024-04-21 10:40:47","f02482399c8b6483e17907aa480d69a0.jpg","Admin",NULL,"0","1","1","9","1",NULL,NULL
"2354","Brand Promotion & Office Essential",,"2024-04-21 10:40:47","d8982ca6cd5f2b11e7f560520fa40c87.jpg","Admin",NULL,"0","1","1","1","1",NULL,NULL
"2355","kitchen Appliance ",,"2024-04-21 10:40:47","d7021ea1a0596c702ab664b010d7cb03.jpg","Admin",NULL,"0","1","1","7","1",NULL,NULL
"2356","Drinkware ","Drinkware gifts are popular choices for corporate gifting, promotional items, and personal gifts due to their practicality and versatility. They can be customized with logos, designs, or personal messages to make them unique and memorable.","2024-04-21 10:40:47",,"Admin",NULL,"2356","0","0","2","0",NULL,NULL
"2357","Eco Friendly & Local Artisan ",,"2024-04-21 10:40:47","8ab9818d96c8298d7520b76ddbd2c0ae.jpg","Admin",NULL,"0","1","1","8","1",NULL,NULL
"2358","Lifestyle Tech Gadgets",,"2024-04-21 10:40:47","Black Red Gift Shop Instagram Post.png","Admin",NULL,"0","1","1","6","1",NULL,NULL
"2359","Premium Gifts ",,"2024-04-21 10:40:47","a065e34a54bfcc9fb249013dc3ae2217.jpg","Admin",NULL,"0","0","0","20","0",NULL,NULL
"2360","Bags & Trolleys",,"2024-04-21 10:40:47","d143c6598d48a25a15a94f6dd2fb32ca.jpg","Admin",NULL,"0","1","1","4","1",NULL,NULL
"2361","Lunch Box & Crockery",,"2024-04-21 10:40:47","b39b405d65432725b87ab71de3fda54a.jpg","Admin",NULL,"0","1","1","12","1",NULL,NULL
